,result,table,duration_in_ms,event_code,header.cycle_id,header.run_id,tag,timestamp,user_message
671,_result,0,296.0,103.0,74,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319167.2136755,TASK_RESUMED
672,_result,0,0.0,300.0,74,RAFCON_6fe11a087d844888b527cad1140070f4,step_3,1632319175.7790837,QA_PASS
673,_result,0,0.0,201.0,74,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319175.8365746,CYCLE_END
674,_result,0,13595.0,202.0,74,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319175.8777347,CYCLE_TIME
675,_result,0,0.0,300.0,74,RAFCON_6fe11a087d844888b527cad1140070f4,cycle,1632319175.8991055,QA_PASS
676,_result,0,0.0,200.0,75,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319175.937344,CYCLE_START
677,_result,0,0.0,300.0,75,RAFCON_6fe11a087d844888b527cad1140070f4,step_1,1632319184.3461583,QA_PASS
678,_result,0,0.0,300.0,75,RAFCON_6fe11a087d844888b527cad1140070f4,step_2,1632319193.5262704,QA_PASS
679,_result,0,0.0,102.0,75,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319193.6089933,TASK_PAUSED
680,_result,0,203.0,103.0,75,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319193.7640631,TASK_RESUMED
681,_result,0,0.0,301.0,75,RAFCON_6fe11a087d844888b527cad1140070f4,step_3,1632319198.894986,QA_FAIL
682,_result,0,0.0,201.0,75,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319198.9303029,CYCLE_END
683,_result,0,23023.0,202.0,75,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319198.9751086,CYCLE_TIME
684,_result,0,0.0,300.0,75,RAFCON_6fe11a087d844888b527cad1140070f4,cycle,1632319198.998678,QA_PASS
685,_result,0,0.0,200.0,76,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319199.0565355,CYCLE_START
686,_result,0,0.0,300.0,76,RAFCON_6fe11a087d844888b527cad1140070f4,step_1,1632319207.991298,QA_PASS
687,_result,0,0.0,301.0,76,RAFCON_6fe11a087d844888b527cad1140070f4,step_2,1632319214.719045,QA_FAIL
688,_result,0,0.0,102.0,76,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319214.8021772,TASK_PAUSED
689,_result,0,2073.0,103.0,76,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319216.8212235,TASK_RESUMED
690,_result,0,0.0,301.0,76,RAFCON_6fe11a087d844888b527cad1140070f4,step_3,1632319219.0247705,QA_FAIL
691,_result,0,0.0,201.0,76,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319219.0893264,CYCLE_END
692,_result,0,20074.0,202.0,76,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319219.1125915,CYCLE_TIME
693,_result,0,0.0,300.0,76,RAFCON_6fe11a087d844888b527cad1140070f4,cycle,1632319219.1358457,QA_PASS
694,_result,0,0.0,200.0,77,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319219.170945,CYCLE_START
695,_result,0,0.0,301.0,77,RAFCON_6fe11a087d844888b527cad1140070f4,step_1,1632319222.67974,QA_FAIL
696,_result,0,0.0,301.0,77,RAFCON_6fe11a087d844888b527cad1140070f4,step_2,1632319232.4309409,QA_FAIL
697,_result,0,0.0,102.0,77,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319232.5141683,TASK_PAUSED
698,_result,0,3061.0,103.0,77,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319235.5621934,TASK_RESUMED
